cache_key,시설물 구분,시설물명,소재지 주소,행정동,lat,lon,geocode_status
장애인용 승강기␟브라운스톤방배APT␟서울 서초구 방배동 899-16␟방배1동,장애인용 승강기,브라운스톤방배APT,서울 서초구 방배동 899-16,방배1동,37.48679110,126.99514320,ok
장애인용 승강기␟브라운스톤효령APT␟서울 서초구 방배동 981-40␟방배3동,장애인용 승강기,브라운스톤효령APT,서울 서초구 방배동 981-40,방배3동,37.47983407,126.99560143,ok
장애인용 승강기␟삼성디지털프라자방배점␟서울 서초구 방배동 905-1␟방배1동,장애인용 승강기,삼성디지털프라자방배점,서울 서초구 방배동 905-1,방배1동,37.48494145,126.99571160,ok
장애인용 승강기␟삼호한숲아파트␟서울 서초구 방배동 1030-1␟방배3동,장애인용 승강기,삼호한숲아파트,서울 서초구 방배동 1030-1,방배3동,37.47775669,126.99892201,ok
장애인용 승강기␟삼화에코빌(방배로)␟서울 서초구 방배동 905-29␟방배1동,장애인용 승강기,삼화에코빌(방배로),서울 서초구 방배동 905-29,방배1동,37.48498302,126.99693894,ok
장애인용 승강기␟서리풀베아체␟서울 서초구 방배동 922-15␟방배1동,장애인용 승강기,서리풀베아체,서울 서초구 방배동 922-15,방배1동,37.48284972,126.99488488,ok
장애인용 승강기␟서울방일초등학교␟서울 서초구 방배동 167-4␟방배1동,장애인용 승강기,서울방일초등학교,서울 서초구 방배동 167-4,방배1동,37.48528732,126.99819228,ok
장애인용 승강기␟서울방현초등학교␟서울 서초구 방배동 산 81-1␟방배3동,장애인용 승강기,서울방현초등학교,서울 서초구 방배동 산 81-1,방배3동,37.47641397,126.99026390,ok
장애인용 승강기␟서울카렌탈비즈니스센터␟서울 서초구 방배동 901-9␟방배1동,장애인용 승강기,서울카렌탈비즈니스센터,서울 서초구 방배동 901-9,방배1동,37.48627431,126.99576082,ok
장애인용 승강기␟서울특별시교육청교육연수원␟서울 서초구 방배동 90␟방배3동,장애인용 승강기,서울특별시교육청교육연수원,서울 서초구 방배동 90,방배3동,,,not_found
장애인용 승강기␟서진플로렌스297␟서울 서초구 방배동 913-23␟방배1동,장애인용 승강기,서진플로렌스297,서울 서초구 방배동 913-23,방배1동,37.48193486,126.99554964,ok
장애인용 승강기␟서초구립 방배1동 숲 어린이집␟서울 서초구 방배동 899-13␟방배1동,장애인용 승강기,서초구립 방배1동 숲 어린이집,서울 서초구 방배동 899-13,방배1동,37.48679897,126.99577832,ok
장애인용 승강기␟서초구립방배유스센터␟서울 서초구 방배동 1031-4␟방배3동,장애인용 승강기,서초구립방배유스센터,서울 서초구 방배동 1031-4,방배3동,37.47830532,126.99906558,ok
장애인용 승강기␟서초리더스정형외과␟서울 서초구 방배동 924-12␟방배1동,장애인용 승강기,서초리더스정형외과,서울 서초구 방배동 924-12,방배1동,37.48378996,126.99575870,ok
장애인용 승강기␟서초여성가족프라자 방배센터␟서울 서초구 방배동 983-14␟방배3동,장애인용 승강기,서초여성가족프라자 방배센터,서울 서초구 방배동 983-14,방배3동,37.48030583,126.99904204,ok
장애인용 승강기␟서초캐슬␟서울 서초구 방배동 890-1␟방배1동,장애인용 승강기,서초캐슬,서울 서초구 방배동 890-1,방배1동,37.48708939,126.99670310,ok
장애인용 승강기␟서초훼미리하우스␟서울 서초구 방배동 917-4␟방배1동,장애인용 승강기,서초훼미리하우스,서울 서초구 방배동 917-4,방배1동,37.48075799,126.99395080,ok
장애인용 승강기␟신구블레스밸리아파트␟서울 서초구 방배동 1019-3␟방배3동,장애인용 승강기,신구블레스밸리아파트,서울 서초구 방배동 1019-3,방배3동,37.47776651,127.00123785,ok
장애인용 승강기␟신호나이스아파트␟서울 서초구 방배동 890-8␟방배1동,장애인용 승강기,신호나이스아파트,서울 서초구 방배동 890-8,방배1동,37.48705527,126.99804208,ok
장애인용 승강기␟아림하우징␟서울 서초구 방배동 911-2␟방배1동,장애인용 승강기,아림하우징,서울 서초구 방배동 911-2,방배1동,37.48255539,126.99549635,ok
장애인용 승강기␟아이리스방배␟서울 서초구 방배동 902-31␟방배1동,장애인용 승강기,아이리스방배,서울 서초구 방배동 902-31,방배1동,37.48577525,126.99592604,ok
장애인용 승강기␟알파레타3차␟서울 서초구 방배동 593-81␟방배3동,장애인용 승강기,알파레타3차,서울 서초구 방배동 593-81,방배3동,37.47491269,126.99408185,ok
장애인용 승강기␟알파레타5차␟서울 서초구 방배동 593-101␟방배3동,장애인용 승강기,알파레타5차,서울 서초구 방배동 593-101,방배3동,37.47520369,126.99358508,ok
장애인용 승강기␟엘루크␟서울 서초구 방배동 911-22␟방배1동,장애인용 승강기,엘루크,서울 서초구 방배동 911-22,방배1동,,,not_found
장애인용 승강기␟여이레하우스␟서울 서초구 방배동 896-12␟방배1동,장애인용 승강기,여이레하우스,서울 서초구 방배동 896-12,방배1동,37.48734488,126.99554966,ok
장애인용 승강기␟연세사랑병원␟서울 서초구 방배동 488-6␟방배3동,장애인용 승강기,연세사랑병원,서울 서초구 방배동 488-6,방배3동,37.47411698,126.99351146,ok
장애인용 승강기␟자현유하우스␟서울 서초구 방배동 940-4␟방배1동,장애인용 승강기,자현유하우스,서울 서초구 방배동 940-4,방배1동,37.48620348,126.99085737,ok
장애인용 승강기␟주심빌딩␟서울 서초구 방배동 1015␟방배3동,장애인용 승강기,주심빌딩,서울 서초구 방배동 1015,방배3동,37.47706515,127.00251909,ok
장애인용 승강기␟지에스방배아트자이␟서울 서초구 방배동 3278␟방배3동,장애인용 승강기,지에스방배아트자이,서울 서초구 방배동 3278,방배3동,37.47978908,127.00252371,ok
장애인용 승강기␟진우빌딩␟서울 서초구 방배동 883-8␟방배1동,장애인용 승강기,진우빌딩,서울 서초구 방배동 883-8,방배1동,37.48899849,126.99877350,ok
장애인용 승강기␟차움빌딩␟서울 서초구 방배동 914-7␟방배1동,장애인용 승강기,차움빌딩,서울 서초구 방배동 914-7,방배1동,37.48140602,126.99460142,ok
장애인용 승강기␟청광아트빌14차␟서울 서초구 방배동 482-4␟방배3동,장애인용 승강기,청광아트빌14차,서울 서초구 방배동 482-4,방배3동,37.47534098,126.98940800,ok
장애인용 승강기␟청권빌딩␟서울 서초구 방배동 908-15␟방배1동,장애인용 승강기,청권빌딩,서울 서초구 방배동 908-15,방배1동,37.48181393,126.99836354,ok
장애인용 승강기␟프린스효령빌딩␟서울 서초구 방배동 984-3␟방배3동,장애인용 승강기,프린스효령빌딩,서울 서초구 방배동 984-3,방배3동,37.48135632,126.99887866,ok
장애인용 승강기␟하모니빌라트␟서울 서초구 방배동 916-29␟방배1동,장애인용 승강기,하모니빌라트,서울 서초구 방배동 916-29,방배1동,37.48161360,126.99424289,ok
장애인용 승강기␟한성모터타워␟서울 서초구 방배동 935-42␟방배1동,장애인용 승강기,한성모터타워,서울 서초구 방배동 935-42,방배1동,37.48612702,126.99429184,ok
장애인용 승강기␟현도빌라트IV␟서울 서초구 방배동 914-3␟방배1동,장애인용 승강기,현도빌라트IV,서울 서초구 방배동 914-3,방배1동,37.48194166,126.99427644,ok
장애인용 승강기␟황금빌딩␟서울 서초구 방배동 883-6␟방배1동,장애인용 승강기,황금빌딩,서울 서초구 방배동 883-6,방배1동,37.48891883,126.99851309,ok
장애인용 승강기␟황실자이아파트␟서울 서초구 방배동 883-9␟방배1동,장애인용 승강기,황실자이아파트,서울 서초구 방배동 883-9,방배1동,37.48883577,126.99930166,ok
장애인용 승강기␟효찬빌딩␟서울 서초구 방배동 895-16␟방배1동,장애인용 승강기,효찬빌딩,서울 서초구 방배동 895-16,방배1동,37.48798343,126.99581941,ok
장애인용 승강기␟휴먼빌딩2␟서울 서초구 방배동 907-5␟방배1동,장애인용 승강기,휴먼빌딩2,서울 서초구 방배동 907-5,방배1동,37.48386783,126.99640769,ok
휠체어 충전소␟내방역 7호선␟서울특별시 서초구 방배동 874-16␟방배1동,휠체어 충전소,내방역 7호선,서울특별시 서초구 방배동 874-16,방배1동,37.48812729,126.99321457,ok
장애인 주차장␟내곡동␟서울특별시 서초구 신원동 282␟방배1동,장애인 주차장,내곡동,서울특별시 서초구 신원동 282,방배1동,37.44959730,127.05418317,ok
장애인 주차장␟방배아트자이␟서울특별시 서초구 방배동 3278␟방배3동,장애인 주차장,방배아트자이,서울특별시 서초구 방배동 3278,방배3동,37.47978908,127.00252371,ok
장애인 주차장␟디엠타워3관␟서울특별시 서초구 방배동 924-11␟방배1동,장애인 주차장,디엠타워3관,서울특별시 서초구 방배동 924-11,방배1동,37.48363994,126.99585583,ok
장애인 주차장␟양지바른치과␟서울특별시 서초구 방배동 905-3␟방배1동,장애인 주차장,양지바른치과,서울특별시 서초구 방배동 905-3,방배1동,37.48483198,126.99589794,ok
장애인 주차장␟방배그랑자이␟서울특별시 서초구 방배동 3283␟방배3동,장애인 주차장,방배그랑자이,서울특별시 서초구 방배동 3283,방배3동,37.47647537,126.99978497,ok
장애인 주차장␟방배센트럴빌딩␟서울특별시 서초구 방배동 909-6␟방배1동,장애인 주차장,방배센트럴빌딩,서울특별시 서초구 방배동 909-6,방배1동,37.48185003,126.99698746,ok
장애인 주차장␟서울방배1동우편취급국␟서울특별시 서초구 방배동 923-6␟방배1동,장애인 주차장,서울방배1동우편취급국,서울특별시 서초구 방배동 923-6,방배1동,37.48314869,126.99528296,ok
장애인 주차장␟루바토␟서울특별시 서초구 방배동 931-25␟방배1동,장애인 주차장,루바토,서울특별시 서초구 방배동 931-25,방배1동,37.48443234,126.99160473,ok
장애인 주차장␟사랑동␟서울특별시 서초구 방배동 981-23␟방배3동,장애인 주차장,사랑동,서울특별시 서초구 방배동 981-23,방배3동,37.48049802,126.99543090,ok
장애인 주차장␟제이지와이제이120(JGYJ120)␟서울특별시 서초구 방배동 981-16␟방배3동,장애인 주차장,제이지와이제이120(JGYJ120),서울특별시 서초구 방배동 981-16,방배3동,37.48110464,126.99741927,ok
장애인 주차장␟드림타운␟서울특별시 서초구 방배동 918-11␟방배1동,장애인 주차장,드림타운,서울특별시 서초구 방배동 918-11,방배1동,37.48129154,126.99358060,ok
장애인 주차장␟방배파크빌␟서울특별시 서초구 방배동 477-11␟방배3동,장애인 주차장,방배파크빌,서울특별시 서초구 방배동 477-11,방배3동,37.47711306,126.98732302,ok
장애인 주차장␟방배래미안타워␟서울특별시 서초구 방배동 485-3␟방배3동,장애인 주차장,방배래미안타워,서울특별시 서초구 방배동 485-3,방배3동,37.47504770,126.99046915,ok
장애인 주차장␟방배대우아파트␟서울특별시 서초구 방배동 562-1␟방배3동,장애인 주차장,방배대우아파트,서울특별시 서초구 방배동 562-1,방배3동,37.47626916,126.99109543,ok
장애인 주차장␟황실자이␟서울특별시 서초구 방배동 883-9␟방배1동,장애인 주차장,황실자이,서울특별시 서초구 방배동 883-9,방배1동,37.48883577,126.99930166,ok
